LGA_CODE_2011,LGA_NAME_2011,LGA_CODE_2016,LGA_NAME_2016,RATIO,PERCENTAGE
40520,Berri and Barmera (DC),40520,Berri and Barmera (DC),0.9986768,99.86768
40520,Berri and Barmera (DC),49399,Unincorporated SA,0.0013232,0.13232
40700,Burnside (C),40700,Burnside (C),1,100
40910,Campbelltown (C),40910,Campbelltown (C) (SA),1,100
41010,Ceduna (DC),41010,Ceduna (DC),1,100
41060,Charles Sturt (C),41060,Charles Sturt (C),1,100
41140,Clare and Gilbert Valleys (DC),41140,Clare and Gilbert Valleys (DC),1,100
41190,Cleve (DC),41190,Cleve (DC),1,100
41330,Coober Pedy (DC),41330,Coober Pedy (DC),1,100
41560,Copper Coast (DC),41560,Copper Coast (DC),1,100
41750,Elliston (DC),41750,Elliston (DC),1,100
41830,Flinders Ranges (DC),41830,Flinders Ranges (DC),0.9975387,99.7538682
41830,Flinders Ranges (DC),49399,Unincorporated SA,0.0024613,0.2461318
41960,Franklin Harbour (DC),41190,Cleve (DC),0.0448106,4.4810557
41960,Franklin Harbour (DC),41960,Franklin Harbour (DC),0.9551894,95.5189443
42030,Gawler (T),42030,Gawler (T),0.9998566,99.9856626
42030,Gawler (T),43650,Light (RegC),0.0001434,0.0143374
42110,Goyder (DC),42110,Goyder (DC),1,100
42250,Grant (DC),42250,Grant (DC),0.9999999,99.9999873
42600,Holdfast Bay (C),42600,Holdfast Bay (C),1,100
42750,Kangaroo Island (DC),42750,Kangaroo Island (DC),1,100
43080,Karoonda East Murray (DC),43080,Karoonda East Murray (DC),1,100
43220,Kimba (DC),43220,Kimba (DC),1,100
43360,Kingston (DC),43360,Kingston (DC) (SA),1,100
43650,Light (RegC),43650,Light (RegC),1,100
43710,Lower Eyre Peninsula (DC),43710,Lower Eyre Peninsula (DC),0.9998363,99.983628
43710,Lower Eyre Peninsula (DC),47910,Tumby Bay (DC),0.0001637,0.016372
43790,Loxton Waikerie (DC),43790,Loxton Waikerie (DC),0.9999062,99.9906187
43920,Mallala (DC),43920,Mallala (DC),1,100
44000,Maralinga Tjarutja (AC),44000,Maralinga Tjarutja (AC),1,100
44060,Marion (C),44060,Marion (C),1,100
44210,Mid Murray (DC),44210,Mid Murray (DC),1,100
44340,Mitcham (C),44340,Mitcham (C),1,100
44550,Mount Barker (DC),44550,Mount Barker (DC),1,100
44620,Mount Gambier (C),44620,Mount Gambier (C),1,100
44830,Mount Remarkable (DC),44830,Mount Remarkable (DC),1,100
45040,Murray Bridge (RC),45040,Murray Bridge (RC),1,100
45090,Naracoorte and Lucindale (DC),45090,Naracoorte and Lucindale (DC),1,100
45120,Northern Areas (DC),45120,Northern Areas (DC),1,100
45290,Norwood Payneham St Peters (C),45290,Norwood Payneham St Peters (C),1,100
45340,Onkaparinga (C),45340,Onkaparinga (C),1,100
45400,Orroroo/Carrieton (DC),45400,Orroroo/Carrieton (DC),1,100
45540,Peterborough (DC),45540,Peterborough (DC),1,100
45680,Playford (C),45680,Playford (C),0.9999768,99.9976827
45890,Port Adelaide Enfield (C),45890,Port Adelaide Enfield (C),1,100
46090,Port Augusta (C),46090,Port Augusta (C),1,100
46300,Port Lincoln (C),46300,Port Lincoln (C),1,100
46450,Port Pirie City and Dists (M),46450,Port Pirie City and Dists (M),1,100
46510,Prospect (C),46510,Prospect (C),1,100
46670,Renmark Paringa (DC),46670,Renmark Paringa (DC),1,100
46860,Robe (DC),46860,Robe (DC),1,100
46970,Roxby Downs (M),46970,Roxby Downs (M),1,100
47140,Salisbury (C),47140,Salisbury (C),1,100
47290,Southern Mallee (DC),47290,Southern Mallee (DC),1,100
47490,Streaky Bay (DC),47490,Streaky Bay (DC),1,100
47630,Tatiara (DC),47630,Tatiara (DC),1,100
47700,Tea Tree Gully (C),47700,Tea Tree Gully (C),1,100
47800,The Coorong (DC),47800,The Coorong (DC),1,100
47910,Tumby Bay (DC),47910,Tumby Bay (DC),1,100
47980,Unley (C),47980,Unley (C),1,100
48050,Victor Harbor (C),48050,Victor Harbor (C),1,100
48130,Wakefield (DC),48130,Wakefield (DC),1,100
48260,Walkerville (M),48260,Walkerville (M),1,100
48340,Wattle Range (DC),48340,Wattle Range (DC),0.9999994,99.9999398
48410,West Torrens (C),48410,West Torrens (C),1,100
48540,Whyalla (C),48540,Whyalla (C),0.9999999,99.9999864
48640,Wudinna (DC),43220,Kimba (DC),0.0012091,0.1209101
48640,Wudinna (DC),48640,Wudinna (DC),0.9987901,99.8790099
48750,Yankalilla (DC),48750,Yankalilla (DC),1,100
48830,Yorke Peninsula (DC),48830,Yorke Peninsula (DC),1,100
49399,Unincorporated SA,49399,Unincorporated SA,1,100
49499,No usual address (SA),49499,No usual address (SA),1,100
50080,Albany (C),50080,Albany (C),1,100
50210,Armadale (C),50210,Armadale (C),1,100
50250,Ashburton (S),50250,Ashburton (S),0.9997998,99.9799765
50280,Augusta-Margaret River (S),50280,Augusta-Margaret River (S),1,100
50350,Bassendean (T),50350,Bassendean (T),1,100
50420,Bayswater (C),50420,Bayswater (C),1,100
50490,Belmont (C),50490,Belmont (C),1,99.9999972
50560,Beverley (S),50560,Beverley (S),1,100
50630,Boddington (S),50630,Boddington (S),1,100
50770,Boyup Brook (S),50770,Boyup Brook (S),1,100
50840,Bridgetown-Greenbushes (S),50840,Bridgetown-Greenbushes (S),1,100
50910,Brookton (S),50910,Brookton (S),1,100
50980,Broome (S),50980,Broome (S),1,100
51080,Broomehill-Tambellup (S),51080,Broomehill-Tambellup (S),1,100
51120,Bruce Rock (S),51120,Bruce Rock (S),1,100
51190,Bunbury (C),51190,Bunbury (C),1,100
51260,Busselton (S),51260,Busselton (C),1,100
51310,Cambridge (T),51310,Cambridge (T),1,100
51330,Canning (C),51330,Canning (C),1,100
51400,Capel (S),51400,Capel (S),1,100
51470,Carnamah (S),51470,Carnamah (S),1,100
51540,Carnarvon (S),51540,Carnarvon (S),1,100
51610,Chapman Valley (S),51610,Chapman Valley (S),1,100
51680,Chittering (S),51680,Chittering (S),1,100
51750,Claremont (T),51750,Claremont (T),1,100
51820,Cockburn (C),51820,Cockburn (C),0.9999665,99.9966544
51890,Collie (S),51890,Collie (S),1,100
51960,Coolgardie (S),51960,Coolgardie (S),1,100
52030,Coorow (S),52030,Coorow (S),0.9999991,99.999906
52100,Corrigin (S),52100,Corrigin (S),1,100
52170,Cottesloe (T),52170,Cottesloe (T),1,100
52240,Cranbrook (S),52240,Cranbrook (S),1,100
52310,Cuballing (S),52310,Cuballing (S),1,100
52380,Cue (S),52380,Cue (S),1,100
52450,Cunderdin (S),52450,Cunderdin (S),1,100
52520,Dalwallinu (S),52520,Dalwallinu (S),1,100
52590,Dandaragan (S),52590,Dandaragan (S),1,100
52660,Dardanup (S),52660,Dardanup (S),1,100
52730,Denmark (S),52730,Denmark (S),1,100
52800,Derby-West Kimberley (S),52800,Derby-West Kimberley (S),0.9999976,99.9997629
52870,Donnybrook-Balingup (S),52870,Donnybrook-Balingup (S),1,100
52940,Dowerin (S),52940,Dowerin (S),1,100
53010,Dumbleyung (S),53010,Dumbleyung (S),0.9999983,99.9998347
53080,Dundas (S),53080,Dundas (S),1,100
53150,East Fremantle (T),53150,East Fremantle (T),1,100
53220,East Pilbara (S),53220,East Pilbara (S),1,100
53290,Esperance (S),53290,Esperance (S),0.999998,99.9997997
53360,Exmouth (S),53360,Exmouth (S),1,100
53430,Fremantle (C),53430,Fremantle (C),1,100
53520,Geraldton-Greenough (C),53800,Greater Geraldton (C),1,100
53570,Gingin (S),53570,Gingin (S),1,100
53640,Gnowangerup (S),53640,Gnowangerup (S),1,100
53710,Goomalling (S),53710,Goomalling (S),1,100
53780,Gosnells (C),53780,Gosnells (C),1,100
53920,Halls Creek (S),53920,Halls Creek (S),1,100
53990,Harvey (S),53990,Harvey (S),1,100
